# Vigil IOC: C2 and tracking domains
# Format: domain|threat_name|category
dknzursntach.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
dllhost.servehttp.com|201512_PackRAT|c2
dmp.starbolt.io|MobileTracker|tracking
dmw.bz|FlexiSpy|c2
dmw.cc|FlexiSpy|c2
dnkzuesrtnach.pw|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
dnkzuesrtnach.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
dns.bowenpress.org|201707_InsiderInfo|c2
dns1.sdkbalance.com|MobileTracker|tracking
dns2.sdkbalance.com|MobileTracker|tracking
dns3.sdkbalance.com|MobileTracker|tracking
dnsserverprv.com|202006_DarkBasin|c2
docs-mail-google.us|201801_SpyingOnABudget|c2
docs-mail.space|201801_SpyingOnABudget|c2
docs-mails.servehttp.com|201702_NilePhish|c2
document.downloadingsystem.com|201803_BadTraffic|c2
dollrealdoll.com|2021_07_taking_action_against_hackers_in_iran|c2
dollrealdoll.online|2021_07_taking_action_against_hackers_in_iran|c2
domainblacklistcheck.com|202006_DarkBasin|c2
domainemailhostings.com|202006_DarkBasin|c2
domainexpertswebuk.com|202006_DarkBasin|c2
domainforhostuk.com|202006_DarkBasin|c2
domainformailinguk.com|202006_DarkBasin|c2
domainhostnetworkuk.com|202006_DarkBasin|c2
domainhostnetworkusa.com|202006_DarkBasin|c2
domainhostworkeu.com|202006_DarkBasin|c2
domainlocalhostingeu.com|202006_DarkBasin|c2
domainlocalhostinghk.com|202006_DarkBasin|c2
domainlocalhostinguk.com|202006_DarkBasin|c2
domainmanager33.com|202006_DarkBasin|c2
domainmanager33.site|202006_DarkBasin|c2
domainmanager33.website|202006_DarkBasin|c2
domainserver322.com|202006_DarkBasin|c2
domainserver399.com|202006_DarkBasin|c2
domainserveractive.com|202006_DarkBasin|c2
domainsforfreehosting.com|202006_DarkBasin|c2
domainsforsupport.com|202006_DarkBasin|c2
domainsfortechhelp.com|202006_DarkBasin|c2
domainsserver4f.com|202006_DarkBasin|c2
donnamfelton.club|2021_04_taking_action_against_hackers_in_palestine|c2
dotnerserversg.com|202006_DarkBasin|c2
dotnetserverhk.com|202006_DarkBasin|c2
down.tracksz.co|MobileTracker|tracking
downapk.spytoapp.com|SpyToApp|c2
downdating.club|MobileTracker|tracking
download-file.top|MobileTracker|tracking
download-revo.vercel.app|2021_11_action_against_hackers_in_pakistan_and_syria|c2
download-telegram.vercel.app|2021_11_action_against_hackers_in_pakistan_and_syria|c2
download.downloadering.co|201803_BadTraffic|c2
download.downloading.shop|201803_BadTraffic|c2
download.freespyphone.net|SpyAdvice|distribution
download.mobile-tracker-free.me|MobileTrackerFree|distribution
download.syriantelecommunications.co|201803_BadTraffic|c2
download.webwatcherdata.com|AndroidPolice|c2
download4you.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
downloading.internetdownloading.co|201803_BadTraffic|c2
downloading.syriantelecom.co|201803_BadTraffic|c2
downloads.refog.com|Hoverwatch|c2
downloads.shadow-spy.com|ShadowSpy|distribution
dragonair.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
drive-accounts-goog1e.cf|201801_SpyingOnABudget|c2
drive-accounts-google.com|201801_SpyingOnABudget|c2
drive-accounts-google.ga|201801_SpyingOnABudget|c2
drive-accounts-google.ml|201801_SpyingOnABudget|c2
drive-accounts-gooogle.com|201801_SpyingOnABudget|c2
drive-goo.space|201801_SpyingOnABudget|c2
drive-goog1e.com|201801_SpyingOnABudget|c2
drive-google.cf|201801_SpyingOnABudget|c2
drive-google.gq|201801_SpyingOnABudget|c2
drive-google.me|201801_SpyingOnABudget|c2
drive-google.ml|201801_SpyingOnABudget|c2
drive-google.space|201801_SpyingOnABudget|c2
drive-gooog1e.space|201801_SpyingOnABudget|c2
drive-mail-google.cf|201801_SpyingOnABudget|c2
drive-mail-google.com|201801_SpyingOnABudget|c2
drive-mail.info|201801_SpyingOnABudget|c2
drive-mail.online|201801_SpyingOnABudget|c2
drive-mail.us|201801_SpyingOnABudget|c2
drive.accounts-gooog1e.online|201801_SpyingOnABudget|c2
drive.gooog1e.com|201801_SpyingOnABudget|c2
drive.mail-status.com|201801_SpyingOnABudget|c2
drive.myaccount-mail.com|201801_SpyingOnABudget|c2
drive.postmailsecret.com|201801_SpyingOnABudget|c2
drivegoogle.biz|201801_SpyingOnABudget|c2
driveriders.club|MobileTracker|tracking
drivesuplouders.000webhostapp.com|2021_04_taking_action_against_hackers_in_palestine|c2
drivgoogle.firewall-gateway.com|201603_Shifting_Tactics|c2
drivingexpiriencesimulator.club|MobileTracker|tracking
drlve-gooog1e.com|201801_SpyingOnABudget|c2
droimon20.ru|AndroidPolice|c2
droimon20.ru|AndroidPolice|tracking
dropbox-service.serveftp.com|201702_NilePhish|c2
dropbox-sign.servehttp.com|201702_NilePhish|c2
dropbox-verfy.servehttp.com|201702_NilePhish|c2
dropboxnotification.servehttp.com|201702_NilePhish|c2
dropboxsupport.servehttp.com|201702_NilePhish|c2
druze.life|2021_11_action_against_hackers_in_pakistan_and_syria|c2
dsfhskln.com|MobileTracker|tracking
dsrvrer.com|202006_DarkBasin|c2
dto.kcpro.ga|MobileTracker|tracking
dwn.vys.me|MobiStealth|c2
dz7.wethnc067.xyz|MobileTool|c2
e-spy.app|AndroidPolice|c2
e-spy.org|AndroidPolice|c2
e-spy.org|AndroidPolice|distribution
e-spy.org|AndroidPolice|tracking
e.appjiagu.com|Cocospy|c2
e.crashlytics.com|MobileTracker|tracking
e.freespy1.ml|MobileTracker|tracking
e2c64.firebaseio.com|Reptilicus|c2
eagerfox.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
eaglespy.com.br|eagleSPY|c2
eaglespy.com.br|eagleSPY|tracking
easemon.com|iKeyMonitor|tracking
eastafro.net|201712_Cyberbit|c2
easybassbooster.club|MobileTracker|tracking
easycalea.com|MobileTracker|tracking
easydoc.info|MobileTrackerFree|c2
easyloggerbeta.azurewebsites.net|EasyLogger|c2
easyphonetrack.com|EasyPhoneTrack|c2
easyphonetrack.com|EasyPhoneTrack|tracking
easyvshow.com|MobileTracker|tracking
ebill.cosmote.center|2021_12_taking_action_against_surveillance_for_hire|c2
ec.cu9.co|201512_PackRAT|c2
ecom-servicelogin.com|202006_DarkBasin|c2
ecom.flexispy.com|FlexiSpy|c2
economyfeeds.com|202006_DarkBasin|c2
economyservicesil.com|202006_DarkBasin|c2
ecoserveraus.com|202006_DarkBasin|c2
ecuadorenvivo.com|201512_PackRAT|c2
ecuadorenvivo.co|201512_PackRAT|c2
edge-cloudservices.com|2022_04_metas_adversarial_threat_report_q1|c2
edgecacheimagehosting.com|201605_Stealth_Falcon|c2
edit-ymail.space|201801_SpyingOnABudget|c2
editsbackground.club|MobileTracker|tracking
edlnc255s2q.s3.amazonaws.com  # edlnc255s2q.s3.amazonaws.com/databackup.apk|AndroidPolice|c2
efsyn.online|2021_12_taking_action_against_surveillance_for_hire|c2
egyqaz.com|2021_12_taking_action_against_surveillance_for_hire|c2
einformatiks.com|MobiStealth|c2
ejn.kcpro.ga|MobileTracker|tracking
eksndtpf.org|MobileTracker|tracking
elcore-api.azurewebsites.net|EasyLogger|c2
elecresearch.org|2022_04_metas_adversarial_threat_report_q1|c2
em.awsapi.io|iKeyMonitor|c2
email-163.space|201801_SpyingOnABudget|c2
email-netvigator.info|201801_SpyingOnABudget|c2
email23.secuerserver.com|201707_InsiderInfo|c2
emailauthservice.com|202006_DarkBasin|c2
emailbaseserverhl.com|202006_DarkBasin|c2
emaildeliverysuccess.com|202006_DarkBasin|c2
emailhostholland.com|202006_DarkBasin|c2
emailhostsecurehk.com|202006_DarkBasin|c2
emailmappingservice.com|202006_DarkBasin|c2
emailsecurenode.com|202006_DarkBasin|c2
emailserver399.com|202006_DarkBasin|c2
emailserver4859.com|202006_DarkBasin|c2
emailserver499.com|202006_DarkBasin|c2
emailserverhk48.com|202006_DarkBasin|c2
emailserverholland.com|202006_DarkBasin|c2
emailservername299.com|202006_DarkBasin|c2
emailseverrus23.com|202006_DarkBasin|c2
emailvalidateservice.com|202006_DarkBasin|c2
emcpanel.com|iKeyMonitor|c2
emiratesfoundation.net|201608_NSO_Group|c2
emmashop.app|2021_11_action_against_hackers_in_pakistan_and_syria|c2
emraiyz.xyz|MobileTracker|tracking
en.ownspy.com|OwnSpy|tracking
enerflex.ddns.net|2022_04_metas_adversarial_threat_report_q1|c2
enerflex.org|2022_04_metas_adversarial_threat_report_q1|c2
energy-mail.org|201909_MissingLink|c2
engine.ninja|2021_12_taking_action_against_surveillance_for_hire|c2
enigmase.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
enikos.news|2021_12_taking_action_against_surveillance_for_hire|c2
enough-hamas.000webhostapp.com|2021_04_taking_action_against_hackers_in_palestine|c2
enterprise.cerberusapp.com|Cerberus|tracking
enti5abat.pw|2021_04_taking_action_against_hackers_in_palestine|c2
entrust.work|2021_07_taking_action_against_hackers_in_iran|c2
eok8wd5v.net|MobileTracker|tracking
epiphany.download-document.world|201803_BadTraffic|c2
epoch.englishdownloaders.today|201803_BadTraffic|c2
epoch.uploaders.online|201803_BadTraffic|c2
epoch.wind-files.today|201803_BadTraffic|c2
epochatimes.com|201707_InsiderInfo|c2
epochtimes.space|201801_SpyingOnABudget|c2
era3000.com|OwnSpy|tracking
erbfzk.com|MobileTracker|tracking
ereportaz.news|2021_12_taking_action_against_surveillance_for_hire|c2
erictrumpfundation.com|2021_07_taking_action_against_hackers_in_iran|c2
ern.kcpro.ga|MobileTracker|tracking
ersokbkj.com|MobileTracker|tracking
es-last-telegram.appspot.com|2021_04_taking_action_against_hackers_in_palestine|c2
es-last-telegram.firebaseio.com|2021_04_taking_action_against_hackers_in_palestine|c2
es.mobilespy.at|AndroidPolice|tracking
es.mobiplus.me|MobileTracker|tracking
es.refog.com|Hoverwatch|tracking
espiao.meuspy.com|MeuSpy|tracking
espiaodecelulargratis.com.br|MeuSpy|tracking
espressonews.gr.com|2021_12_taking_action_against_surveillance_for_hire|c2
esrvrer.com|202006_DarkBasin|c2
etcotater.com|MobileTracker|tracking
etisalategypt.tech|2021_12_taking_action_against_surveillance_for_hire|c2
etisalatgreen.com|2021_12_taking_action_against_surveillance_for_hire|c2
etisalatonline.com|2022_04_metas_adversarial_threat_report_q1|c2
etpweb.answerai.pro|MobileTracker|tracking
eu1-spiky.wzrkt.com|MobileTracker|tracking
eu1.alb.wzrkt.com|MobileTracker|tracking
eu1.wzrkt.com|MobileTracker|tracking
euanticorruption.com|202006_DarkBasin|c2
evaspy.com|EvaSpy|tracking
evt17.com|HighsterMobile|c2
evt17.com|HighsterMobile|tracking
ewish.cards|2021_12_taking_action_against_surveillance_for_hire|c2
exactspy.com|TheTruthSpy|tracking
exchangeserver2345.com|202006_DarkBasin|c2
exchangeserverformailing.com|202006_DarkBasin|c2
explorer.sikayetvar.com|MobileTracker|tracking
expresscreditcash.com|MobileTracker|tracking
exprogroup.org|2022_04_metas_adversarial_threat_report_q1|c2
extapp.globalsou.com|MobileTracker|tracking
extension.1dasou.com|MobileTracker|tracking
extension.ground.news|MobileTracker|tracking
extranetserviceonline.com|202006_DarkBasin|c2
extremeexploits.com|MobileTracker|tracking
extremeexploits.org|MobileTracker|tracking
eyezyapp.thd.cc|mSpy|c2
f-b.today|2021_11_action_against_hackers_in_pakistan_and_syria|c2
f.appjiagu.com|Cocospy|c2
f.freespy1.ml|MobileTracker|tracking
f.freespy1.tk|MobileTracker|tracking
f0.photoeffect.xyz|MobileTracker|tracking
f6.beautycam.xyz|MobileTracker|tracking
f8a.beautycam.xyz|MobileTracker|tracking
fa.gifcam.xyz|MobileTracker|tracking
faccebookaccunt.blogspot.com|2021_11_action_against_hackers_in_pakistan_and_syria|c2
face-book.xyz|2021_11_action_against_hackers_in_pakistan_and_syria|c2
facebook-helps-center.com|2021_11_action_against_hackers_in_pakistan_and_syria|c2
facebookdeck.com|2020_12_taking_action_against_hackers_in_bangladesh_and_vietnam|c2
facebooks.ddns.me|2021_04_taking_action_against_hackers_in_palestine|c2
facebookservices.gq|2021_07_taking_action_against_hackers_in_iran|c2
facenalyer.com|MobileTracker|tracking
fariepoziitn.online|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
fariepoziitn.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
fariepoziitn.space|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
fariepoziitn.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
faripoziiton.fun|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
faripoziiton.online|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
faripoziiton.space|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
faripoziiton.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
fasbcaok.com|2021_04_taking_action_against_hackers_in_palestine|c2
fasebaak.com|2021_04_taking_action_against_hackers_in_palestine|c2
faseback.com|2021_04_taking_action_against_hackers_in_palestine|c2
fasebaok.com|2021_04_taking_action_against_hackers_in_palestine|c2
fasebaok.co|2021_04_taking_action_against_hackers_in_palestine|c2
fasebaook.com|2021_04_taking_action_against_hackers_in_palestine|c2
fasebcak.com|2021_04_taking_action_against_hackers_in_palestine|c2
fasebcak.co|2021_04_taking_action_against_hackers_in_palestine|c2
fasebcck.com|2021_04_taking_action_against_hackers_in_palestine|c2
fasebcoki.com|2021_04_taking_action_against_hackers_in_palestine|c2
fasibauik.co|2021_04_taking_action_against_hackers_in_palestine|c2
fasitoak.com|2021_04_taking_action_against_hackers_in_palestine|c2
faspulhearratmoni.com|MobileTracker|tracking
fast-download.pro|2021_04_taking_action_against_hackers_in_palestine|c2
fastdownload.me|2021_12_taking_action_against_surveillance_for_hire|c2
fastserverasia.com|202006_DarkBasin|c2
fastservereurope.com|202006_DarkBasin|c2
fastserveruk.com|202006_DarkBasin|c2
fastserverusa.com|202006_DarkBasin|c2
fasttravelclearance.com|201605_Stealth_Falcon|c2
fastuploads.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
faz.agency|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
faz.life|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
faz.ltd|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
fb-accounts.com|201608_NSO_Group|c2
fb-accounts.com|201706_RecklessExploit|c2
fb.gifcam.xyz|MobileTracker|tracking
fbc8213450838f7ae251d4|2021_12_taking_action_against_surveillance_for_hire|c2
fblogin.me|2021_07_taking_action_against_hackers_in_iran|c2
fcaibaak.com|2021_04_taking_action_against_hackers_in_palestine|c2
fdfjhks.com|MobileTracker|tracking
feartranslator.com|MobileTracker|tracking
fecolooklegon.000webhostapp.com|2021_04_taking_action_against_hackers_in_palestine|c2
fedex-mail.servehttp.com|201702_NilePhish|c2
fedex-notification.servehttp.com|201702_NilePhish|c2
fedex-s.servehttp.com|201702_NilePhish|c2
fedex-shipping.servehttp.com|201702_NilePhish|c2
fedex-sign.servehttp.com|201702_NilePhish|c2
fenced.ai|Fenced|tracking
ferehtdwrhl.fun|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
ferehtdwrhl.pw|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
ferehtdwrhl.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
ferehtdwrhl.space|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
ferehtdwrhl.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
ferhedtewrahl.pw|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
ferhedtewrahl.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
ferhedtewrahl.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
feriehtdewrahl.pw|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
feriehtdewrahl.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
feriehtdewrahl.space|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
feriehtdewrahl.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
ferihetderwahl.online|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
ferihetderwahl.website|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
ferrari.gr.com|2021_12_taking_action_against_surveillance_for_hire|c2
fetch.mangoerp.com|MobileTracker|tracking
ffitnesstrainer.club|MobileTracker|tracking
ffnbafc.xyz|MobileTracker|tracking
ffoxnewz.com|2021_12_taking_action_against_surveillance_for_hire|c2
fgcxweasqw.oss-eu-central-1.aliyuncs.com|MobileTracker|tracking
fiddaz.club|MobileTracker|tracking
fif0.top|MobileTracker|tracking
fileblade.ga|2021_07_taking_action_against_hackers_in_iran|c2
filegoogle.firewall-gateway.com|201603_Shifting_Tactics|c2
files-gooog1e.space|201801_SpyingOnABudget|c2
files-mail-google.ml|201801_SpyingOnABudget|c2
files-mail-qq.online|201801_SpyingOnABudget|c2
files-mail.space|201801_SpyingOnABudget|c2
files-store.host|2021_04_taking_action_against_hackers_in_palestine|c2
filestudios.net|2022_08_metas_adversarial_threat_report_q2|c2
filtersapp-715ee.appspot.com|2021_04_taking_action_against_hackers_in_palestine|c2
filtersapp-715ee.firebaseio.com|2021_04_taking_action_against_hackers_in_palestine|c2
fimes.gr.com|2021_12_taking_action_against_surveillance_for_hire|c2
fincconttact.com|MobileTracker|tracking
find-my-phone-prod.herokuapp.com|AndroidPolice|c2
find-myphone.com|AndroidPolice|tracking
findcareersatusbofa.com|2021_07_taking_action_against_hackers_in_iran|c2
findmykids.org|FindMyKids|tracking
findmyphone.mangobird.com|AndroidPolice|c2
findmyplants.com|201810_TheKingdomCameToCanada|c2
fingdefend.com|MobileTracker|tracking
fingerprihanger.com|MobileTracker|tracking
fire-upload.host|2021_04_taking_action_against_hackers_in_palestine|c2
firebase-settings.crashlytics.com|MobileTracker|tracking
fireup.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
firewallupdate.firewall-gateway.com|201603_Shifting_Tactics|c2
firewallupdate.firewall-gateway.net|201603_Shifting_Tactics|c2
fiservcareers.com|2021_07_taking_action_against_hackers_in_iran|c2
fisherman.engine.ninja|2021_12_taking_action_against_surveillance_for_hire|c2
fitnessdias.club|MobileTracker|tracking
fitnessgymup.club|MobileTracker|tracking
fitnesspoint.club|MobileTracker|tracking
fitnessstrategy.xyz|MobileTracker|tracking
fl.gifcam.xyz|MobileTracker|tracking
flashkeylogger.com|FlashKeylogger|tracking
flexipagez.com|2021_12_taking_action_against_surveillance_for_hire|c2
flexispy.com|FlexiSpy|tracking
flexispy.mobileapps.com.my|FlexiSpy|tracking
flickry.xyz|MobileTracker|tracking
flower.snoopza.com|Snoopza|c2
fluency.ryboucoathom.com|MobileTracker|tracking
flushdata.1topspy.com|HelloSpy|c2
flushdata.copy9db.com|HelloSpy|c2
flushdata.hellospy.com|HelloSpy|c2
flushdata2.hellospy.com|HelloSpy|c2
flushdata3.hellospy.com|HelloSpy|c2
flushdata4.hellospy.com|HelloSpy|c2
flushdata5.hellospy.com|HelloSpy|c2
flushdbd.maxxspy.com|HelloSpy|c2
flyermobi.com|MobileTracker|tracking
fmk.god-xc.com|FindMyKids|distribution
fnbdeiegpslocoiatntcrkaer.com|MobileTracker|tracking
focusecuador.net|201512_PackRAT|c2
focusecuador.tk|201512_PackRAT|c2
fonemonitor.co|Cocospy|tracking
fonemonitor.vip|Cocospy|c2
fonetracker.com|TheTruthSpy|tracking
foodin.site|MobileTracker|tracking
foreverspy.com|Metasploit|c2
foreverspy.com|Metasploit|tracking
formmail.com|201512_PackRAT|c2
forum.spytomobile.com|AndroidPolice|tracking
forumtechtopic.com|202006_DarkBasin|c2
forwardeshoptt.com|2021_12_taking_action_against_surveillance_for_hire|c2
forzahmobile.com|MobileTracker|tracking
foxspy.com.br|EspiaoAndroid|tracking
fr.chillaxgames.mobi|MobileTracker|tracking
fr.mobilespy.at|AndroidPolice|tracking
fr.refog.com|Hoverwatch|tracking
fraiepozition.live|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
fraiepozition.online|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
fraiepozition.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
fraiepozition.store|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
fraiesvolk.com|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
fraiopziiton.online|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
fraiopziiton.site|2022_09_removing_coordinated_inauthentic_behavior_from_china_and_russia|c2
fraudpreventionsys.com|MobileTracker|tracking
frecalwolwid.com|MobileTracker|tracking
free-spy.com|AppSpy|tracking
free.apptracker.net|AppSpy|tracking
free.spycell.net|TheTruthSpy|tracking
freeandroidspy.com|FreeAndroidSpy|tracking
freechess.live|2022_04_metas_adversarial_threat_report_q1|c2
freecoupon21.com|MobileTracker|tracking
freefonespy.com|mSpy|tracking
freemobilespy.net|AppSpy|c2
freemobilespy.net|AppSpy|tracking
freephonespy.net|AppSpy|tracking
freespy.cf|MobileTracker|tracking
freespyapp.com|AndroidPolice|c2
freespyapp.com|AndroidPolice|tracking
freespyphone.net|SpyAdvice|tracking
frowtisice.club|2021_04_taking_action_against_hackers_in_palestine|c2
frwrdrurl.com|202006_DarkBasin|c2
frwrdrwr.com|202006_DarkBasin|c2
ftp.ftpserver.com|201512_PackRAT|c2
ftp.info-taxi.info|AndroidPolice|c2
ftp.server.com|201512_PackRAT|c2
ftphotom.com|MobileTracker|tracking
full.naturalpercent.life|MobileTracker|tracking
funnychess.online|2022_04_metas_adversarial_threat_report_q1|c2
fxkwboard.com|MobileTracker|tracking
g.appjiagu.com|Cocospy|c2
g.freespy1.ml|MobileTracker|tracking
g.freespy1.tk|MobileTracker|tracking
g1790.rt14v.com|MobileTracker|tracking
gallant-william.icu|2021_04_taking_action_against_hackers_in_palestine|c2
gallery.play-protect.com|2022_08_metas_adversarial_threat_report_q2|c2
gateway.unityads.unity3d.com|MobileTracker|tracking
gbcf.odskguo.xyz|MobileTracker|tracking
gd-1301476296.cos.na-toronto.myqcloud.com|MobileTracker|tracking
gemtool.sytes.net|2021_11_action_against_hackers_in_pakistan_and_syria|c2
geniesoftsystem.com|AbsoluTrack|tracking
geo2ipapi.org|2021_03_taking_action_against_hackers_in_china|c2
geo2ipapi.org|MobileTracker|tracking
get-your-access-now.com|MobileTracker|tracking
get.adobe.com.bowenpress.org|201707_InsiderInfo|c2
get.snoopza.com|Snoopza|c2
get.snoopza.com|Snoopza|tracking
getadobe.ddns.net|2022_04_metas_adversarial_threat_report_q1|c2
getadobe.net|2022_04_metas_adversarial_threat_report_q1|c2
getadobeplayer.com|201712_Cyberbit|c2
getelements.xyz|MobileTracker|tracking
getemailopens.com|202006_DarkBasin|c2
getmspy.net|mSpy|c2
getmspy.net|mSpy|distribution
getreadytorunhalfmarathon.com|202006_DarkBasin|c2
getsetgoforhealth.com|202006_DarkBasin|c2
getsignalapps.com|2021_12_taking_action_against_surveillance_for_hire|c2
getsignalapps.live|2021_12_taking_action_against_surveillance_for_hire|c2
getspyapps.com|HelloSpy|tracking
getspylix.io|AndroidPolice|c2
getupdatesnow.xyz|2021_12_taking_action_against_surveillance_for_hire|c2
giftmio.com|MobileTracker|tracking
gifts-store.net|2021_04_taking_action_against_hackers_in_palestine|c2
gleancorp.com|MobileTracker|tracking
globaltalent.in|2022_04_metas_adversarial_threat_report_q1|c2
gmail-profile.com|201801_SpyingOnABudget|c2
gmail-relation.tk|201801_SpyingOnABudget|c2
gmail-retry.tk|201801_SpyingOnABudget|c2
gmail-safety.pw|201801_SpyingOnABudget|c2
gmail-secure.tk|201801_SpyingOnABudget|c2
gmail-ssl.tk|201801_SpyingOnABudget|c2
gmail.com.msg07.xyz|201512_PackRAT|c2
gmailapp.me|201909_MissingLink|c2
go.creativemobilemarketing.com|MobileTracker|tracking
go.fastfinderworld.com|MobileTracker|tracking
go.grandprizewinners.com|MobileTracker|tracking
go.interlinkinternet.com|MobileTracker|tracking
go.protectyoursearch.com|MobileTracker|tracking
go.trackitalltheway.com|MobileTracker|tracking
go.trackiteazy.com|MobileTracker|tracking
go.watchwiser.com|MobileTracker|tracking
go.whatabookmark.com|MobileTracker|tracking
goerge-amper.website|2021_04_taking_action_against_hackers_in_palestine|c2
goldenscent.net|2021_12_taking_action_against_surveillance_for_hire|c2
goldenscint.com|2021_12_taking_action_against_surveillance_for_hire|c2
goldescent.com|2021_12_taking_action_against_surveillance_for_hire|c2
goo-ply-download.com|2021_04_taking_action_against_hackers_in_palestine|c2
goodreads.rest|2021_07_taking_action_against_hackers_in_iran|c2
goodwork-25869.appspot.com|2021_04_taking_action_against_hackers_in_palestine|c2
goodwork-25869.firebaseio.com|2021_04_taking_action_against_hackers_in_palestine|c2
goog1e.space|201801_SpyingOnABudget|c2
googl.club|2021_07_taking_action_against_hackers_in_iran|c2
google-authorize.gq|201801_SpyingOnABudget|c2
google-drive.gq|201801_SpyingOnABudget|c2
google-issue.tk|201801_SpyingOnABudget|c2
google-maps.servehttp.com|201702_NilePhish|c2
google-post.com|201801_SpyingOnABudget|c2
google-protected.gq|201801_SpyingOnABudget|c2
google-secret.com|201801_SpyingOnABudget|c2
google-secure.gq|201801_SpyingOnABudget|c2
google-settings.ml|201801_SpyingOnABudget|c2
google-sign.tk|201801_SpyingOnABudget|c2
google.comemail.email|201808_FamiliarFeeling|c2
google.comemails.email|201808_FamiliarFeeling|c2
google.commail.co|201808_FamiliarFeeling|c2
google.commail.email|201808_FamiliarFeeling|c2
google.loginto.me|2021_04_taking_action_against_hackers_in_palestine|c2
googledrive-sign.servehttp.com|201702_NilePhish|c2
googledriver-sign.ddns.net|201702_NilePhish|c2
googlefile.firewall-gateway.net|201603_Shifting_Tactics|c2
googlemaps.servehttp.com|201702_NilePhish|c2
googleplay-store.com|201608_NSO_Group|c2
googlesecure-serv.servehttp.com|201702_NilePhish|c2
googleservices.co|2022_04_metas_adversarial_threat_report_q1|c2
googlesignin.servehttp.com|201702_NilePhish|c2
googleupdate.co|2022_04_metas_adversarial_threat_report_q1|c2
googleverify-signin.servehttp.com|201702_NilePhish|c2
goomail.ml|202006_DarkBasin|c2
gooog1e.com|201801_SpyingOnABudget|c2
gosignal.org|2022_08_metas_adversarial_threat_report_q2|c2
gosokm.com|2021_12_taking_action_against_surveillance_for_hire|c2
gotossl.ml|2021_03_taking_action_against_hackers_in_china|c2
gotossl.ml|MobileTracker|tracking
gp-market.com|2021_04_taking_action_against_hackers_in_palestine|c2
gpsphonuetrackerfamilylocator.com|MobileTracker|tracking
gravyanalytics.com|MobileTracker|tracking
grd77.cn|MobileTracker|tracking
greenwich-for-chrome.replit.app|MobileTracker|tracking
groovefitness.xyz|MobileTracker|tracking
gropinggo.com|2021_07_taking_action_against_hackers_in_iran|c2
guardian-tt.me|2021_12_taking_action_against_surveillance_for_hire|c2
guardnews.live|2021_12_taking_action_against_surveillance_for_hire|c2
guestspy.com|TheTruthSpy|c2
guestspy.com|TheTruthSpy|tracking
gurley.s3.ap-southeast-1.wasabisys.com|PhoneMonitor|distribution
h.appjiagu.com|Cocospy|c2
h.freespy1.ml|MobileTracker|tracking
h.freespy1.tk|MobileTracker|tracking
hadfnews.000webhostapp.com|2021_04_taking_action_against_hackers_in_palestine|c2
hail-reporting.tutelatechnologies.com|MobileTracker|tracking
