# Vigil IOC: Malicious/stalkerware Android packages
# Format: package_name|threat_name|category
com.android.core.mngz|Snoopza|stalkerware
com.android.core.mntah|Hoverwatch|stalkerware
com.android.core.mnta|Hoverwatch|stalkerware
com.android.core.mntb|Hoverwatch|stalkerware
com.android.core.mntd|Hoverwatch|stalkerware
com.android.core.mnte|Hoverwatch|stalkerware
com.android.core.mntf|Hoverwatch|stalkerware
com.android.core.mntg|Hoverwatch|stalkerware
com.android.core.mnth|Hoverwatch|stalkerware
com.android.core.mnti|Hoverwatch|stalkerware
com.android.core.mntj|Hoverwatch|stalkerware
com.android.core.mntk|Hoverwatch|stalkerware
com.android.core.mntl|Hoverwatch|stalkerware
com.android.core.mntm|Hoverwatch|stalkerware
com.android.core.mntn|Hoverwatch|stalkerware
com.android.core.mnto|Hoverwatch|stalkerware
com.android.core.mntp|Hoverwatch|stalkerware
com.android.core.mntq|Hoverwatch|stalkerware
com.android.core.mntr|Hoverwatch|stalkerware
com.android.core.mnts|Hoverwatch|stalkerware
com.android.core.mntt|Hoverwatch|stalkerware
com.android.core.mntu|Hoverwatch|stalkerware
com.android.core.mntv|Hoverwatch|stalkerware
com.android.core.mntw|Hoverwatch|stalkerware
com.android.core.mntx|Hoverwatch|stalkerware
com.android.core.mnty|Hoverwatch|stalkerware
com.android.core.mntz|Hoverwatch|stalkerware
com.android.core.mnt|Hoverwatch|stalkerware
com.android.core.monitor.debug|Hoverwatch|stalkerware
com.android.core.monitor.debug|Sync Service|stalkerware
com.android.core.monitor.null|Hoverwatch|stalkerware
com.android.core.monitornull|Hoverwatch|stalkerware
com.android.core.monitor|Hoverwatch|stalkerware
com.android.fystem.maps|AndroidPolice|stalkerware
com.android.fystem.maps|Kurulum|stalkerware
com.android.innovaspy|1TopSpy|stalkerware
com.android.innovaspy|HelloSpy|stalkerware
com.android.inputmethod.latinmy|AndroidPolice|stalkerware
com.android.inputmethod.latinmy|KidLogger|stalkerware
com.android.internet.a20200817|iKeyMonitor|stalkerware
com.android.internet.a20210916|iKeyMonitor|stalkerware
com.android.internet.a20220729|iKeyMonitor|stalkerware
com.android.internet.a20220829|iKeyMonitor|stalkerware
com.android.internet.a20220914|iKeyMonitor|stalkerware
com.android.keyboardhelper|celSpy|stalkerware
com.android.keyboardhelper|mSpy|stalkerware
com.android.omg|TheOneSpy|stalkerware
com.android.phone.dialer|FlexiSpy|stalkerware
com.android.preference.help.mole|BosSpy|stalkerware
com.android.preference.help.mole|Unknown|stalkerware
com.android.preference.voice|UPreferences|stalkerware
com.android.services|TheOneSpy|stalkerware
com.android.settings.app|OneMonitar|stalkerware
com.android.settings.app|OneSpy|stalkerware
com.android.system.app|OneMonitar|stalkerware
com.android.system.app|OneSpy|stalkerware
com.android.system.devicelogs|AppMia|stalkerware
com.android.system.devicelogs|com.android.devicelogs|stalkerware
com.android.system.maps|AndroidPolice|stalkerware
com.android.system.maps|Kurulum|stalkerware
com.android.system|System Service|stalkerware
com.android.wifi.tracker|Trackji|stalkerware
com.android.wifi.tracker|Unknown|stalkerware
com.androiddharmesh.editor|Cool Photo Editor|spyware
com.androiddharmesh.fashioncam|Cool Filter Editor|spyware
com.androidlost.smshandler|AndroidLost|stalkerware
com.androidlost|AndroidLost|stalkerware
com.anhhuy.adspagesmanager|Ads Pages Manager|spyware
com.anhhuy.ads|Ads & Page|spyware
com.ant.spymie.keylogger|Spymie|stalkerware
com.aphonetracker.app|AppSpy|stalkerware
com.app.audiorec|TrackMyPhones|stalkerware
com.app.call_rec_hidden|TrackMyPhones|stalkerware
com.app.com.app.com.app.aplintal|MeuSpy|stalkerware
com.app.good.constellationmaster|Constellation Master|spyware
com.app.insapp2|MeuSpy|stalkerware
com.app.keylogger|TrackMyPhones|stalkerware
com.app.recorder|TrackMyPhones|stalkerware
com.app.remote_control|TrackingSmartphone|stalkerware
com.app.remote_control|XZBO|stalkerware
com.app.spy_call_recorder|TrackMyPhones|stalkerware
com.app.videorec|TrackMyPhones|stalkerware
com.applock.easyuse.lock|AppLock-Lock Apps & Privacy Guard|spyware
com.apps.anti_theft|TrackMyPhones|stalkerware
com.apps.rct.CellTrackerActivity|TrackMyPhones|stalkerware
com.apspy.app|Copy9|stalkerware
com.apspy.app|TheTruthSpy|stalkerware
com.art.draw.SmoothPictureEditor|Smooth Picture Editor|spyware
com.artext.picshow|Text Camera|spyware
com.artoon.toonphoto|Artoon Photo Cartoon Creator|spyware
com.artpics.campro|Pics Art|spyware
com.as.clipboardmanager|AndroSpy|stalkerware
com.as.clipboardmanager|RealtimeSpy|stalkerware
com.as.facecapture|AndroSpy|stalkerware
com.as.facecapture|RealtimeSpy|stalkerware
com.as.gpstracker|AndroSpy|stalkerware
com.as.gpstracker|RealtimeSpy|stalkerware
com.as.keylogger2|AndroSpy|stalkerware
com.as.keylogger2|RealtimeSpy|stalkerware
com.as.keylogger|RealtimeSpy|stalkerware
com.as.klogger|AndroSpy|stalkerware
com.as.klogger|RealtimeSpy|stalkerware
com.as.screenrecorder|AndroSpy|stalkerware
com.as.screenrecorder|RealtimeSpy|stalkerware
com.as.urllogger|AndroSpy|stalkerware
com.as.urllogger|RealtimeSpy|stalkerware
com.ashtoon.tooncool.skordoi|Ashtoon Cartoon Editor|spyware
com.ass.antitheft|AbsoluTrack|stalkerware
com.ass.antitheft|RemoteSecurity|stalkerware
com.ass.ladieschildprotection|AbsoluTrack|stalkerware
com.ass.ladieschildprotection|RemoteSecurity|stalkerware
com.ass.remotesecurity|AbsoluTrack|stalkerware
com.ass.remotesecurity|RemoteSecurity|stalkerware
com.at.wwka|AndroidPolice|stalkerware
com.atharva.perfect.photoeffects|Perfect Photo Effects | Loop Photo Animator|spyware
com.ati.client|AndroidPolice|stalkerware
com.ati.client|Atic|stalkerware
com.ati.monitor|AndroidPolice|stalkerware
com.ati.monitor|Atic|stalkerware
com.ati.webwatcherconsole|AndroidPolice|stalkerware
com.ati.webwatcherconsole|Atic|stalkerware
com.atinc.slcompanion|AndroidPolice|stalkerware
com.atinc.slcompanion|Atic|stalkerware
com.atiw.wc|AndroidPolice|stalkerware
com.atiw.wc|Atic|stalkerware
com.atracker.app|AppSpy|stalkerware
com.autoforward.monitor|AutoForward|stalkerware
com.autoforward.monitor|HighsterMobile|stalkerware
com.avi.scbase|pcTattletale|stalkerware
com.awarenesstech.monitor|AndroidPolice|stalkerware
com.awarenesstech.monitor|Atic|stalkerware
com.awarenesstech.wwpapp|AndroidPolice|stalkerware
com.awarenesstechnologies.sideloadedws|AndroidPolice|stalkerware
com.awarenesstechnologies.sideloadedws|Atic|stalkerware
com.awti.slc|AndroidPolice|stalkerware
com.awti.slc|Atic|stalkerware
com.backup.tt|RealtimeSpy|stalkerware
com.backup.tt|ttspy|stalkerware
com.ballmaster.puzzle|Bomb Master 3D|spyware
com.beamuisclab.musicdownloader.song.mp3download.app|Free Music Downloader & Free Mp3 Downloader|spyware
com.beauty.selfcamera.perfect|Beauty Camera|spyware
com.beautycamera.plusfuny|Beauty Camera Plus|spyware
com.beautyeditor.bestphotoeditor|Photo Editor|spyware
com.beautymakeup.cameram|Beauty Makeup Camera|spyware
com.bestpuz.gams.artpics|Art Puzzle 2021|spyware
com.bettertomorrowapps.spyyourlovefree|CouplerTracker|stalkerware
com.biscoco.camfilter|Biscuit Coco Cam|spyware
com.bluee.gorme|Blue-shoot Game|spyware
com.blur.image.handle|Blur Photo|spyware
com.blut.shooting|Bluetouch Shooting Game|spyware
com.bnahrrbc.kwexsnhl|AndroidPolice|stalkerware
com.bnahrrbc.kwexsnhl|KidLogger|stalkerware
com.bobom.crashran.race|Ranger Crash Game|spyware
com.boo.bam.frvpn|Bamboo VPN|spyware
com.borderedit.cameraapp|Border Sticker Camera|spyware
com.brawsantoon.besteditor|Skintoon - Labs of Cartoon|spyware
com.brot.storage.work|Reptilicus|stalkerware
com.bul.b|AndroidPolice|stalkerware
com.bul.b|ControlPhone|stalkerware
com.bulgakov.bug|AndroidPolice|stalkerware
com.bulgakov.bug|ControlPhone|stalkerware
com.bulgakov.controlphone|AndroidPolice|stalkerware
com.businessplannerdesign|Business Planner Manage|spyware
com.bytepioneers.coupletracker|CouplerTracker|stalkerware
com.bzbqbkya.hgozttiu|AndroidPolice|stalkerware
com.bzbqbkya.hgozttiu|KidLogger|stalkerware
com.callhist.calltr|AndroidPolice|stalkerware
com.cam.io.cls|Classic filter camera|spyware
com.camepicin.libevent|PIP Camera 2022|spyware
com.camhart.netcountable|Unknown|stalkerware
com.candlesvpn.proxyss|Candles VPN|spyware
com.caniqiwa.perfectpuzzles|Perfect Puzzles|spyware
com.cartoons.photofacemaker|Photo editor PIP collage maker|spyware
com.caryshughes.toonprismaeffect|ToonPrisma - 3D Photo Effect|spyware
com.catrsy.jaluc|AndroidPolice|stalkerware
com.catrsy.jaluc|Gpspy|stalkerware
com.cellph.montrb|AndroidPolice|stalkerware
com.chaoqi.spyapp|AndroidPolice|stalkerware
com.chaoqi.spyapp|Unknown|stalkerware
com.charlottefabron.hdvideoplayer|HD Video Player with music|spyware
com.classic.beat.cam|BeautyCam|spyware
com.cldprotect|SpyHuman|stalkerware
com.client.requestlogs|ShadowSpy|stalkerware
com.cliffbradley.youtooncartooneffect|YouToon - AI Cartoon Effect|spyware
com.cocospy|Cocospy|stalkerware
com.colinread.playphooteditor|Play Phoot Editor & Collage|spyware
com.collageimage.photofilter|Photo Filter|spyware
com.connection.manager|Mrecorder|stalkerware
com.connection.manager|mobrec|stalkerware
com.contentwatch.ghoti.cp2.child|Unknown|stalkerware
com.coolcall.callshow|Color Call|spyware
com.coolcall.newspipcamera|Photo PIP Camera|spyware
com.craftstoon.cartoonphoto|Craftsart Cartoon Photo Tools|spyware
com.creatoonbest.faceedit|Creatoon Face Editor|spyware
com.creatorlena.vieds|Photo Video Editor:Lena Editor|spyware
com.crown.camera|Crown Camera|spyware
com.cryzp.leplluln|AndroidPolice|stalkerware
com.cryzp.leplluln|CellSpy|stalkerware
com.customcamare.ppcamera|Photo Pro 2021|spyware
com.cycle.start.mess|Reptilicus|stalkerware
com.d2p.ads_manager_plus|Ads Manager Plus|spyware
com.dahuadata.photomakerpip|Maker PIP Gallery|spyware
com.dashboardmanagemeta|Pages Dashboard|spyware
com.davykinsman.photoquipo.cartooneffect|Photoquipo Cartoon Pic Effect|spyware
com.day.flywallpaper|Flyingfish Wallpaper|spyware
com.dbzbpr.skt|AndroidPolice|stalkerware
com.dbzbpr.skt|Gpspy|stalkerware
com.ddhd.cameraadorn|CameraAdorn|spyware
com.ddhd.creatormould|CreatorMould|spyware
com.ddhd.photo.elegantimage|ElegantImage|spyware
com.ddiutilities.monitor|AutoForward|stalkerware
